,alpha,distance,iters
0,1.0,9.775161743164062e-06,10.0
1,1.0,2.205371856689453e-06,12.0
2,1.0,,
3,1.0,2.205371856689453e-06,4.0
4,1.0,5.960464477539062e-07,1.0
5,1.0,,
6,1.0,1.6093254089355469e-06,8.0
7,1.0,,
8,1.0,,
9,1.0,2.682209014892578e-06,1.0
10,1.0,,
11,1.0,5.364418029785156e-07,1.0
12,1.0,,
13,1.0,,
14,1.0,,
15,1.0,1.5497207641601562e-06,6.0
16,1.0,2.5033950805664062e-06,1.0
17,1.0,2.562999725341797e-06,4.0
18,1.0,,
19,1.0,7.033348083496094e-06,10.0
20,1.0,,
21,1.0,1.0132789611816406e-06,1.0
22,1.0,,
23,1.0,4.76837158203125e-06,6.0
24,1.0,,
25,1.0,,
26,1.0,3.5762786865234375e-06,6.0
27,1.0,,
28,1.0,,
29,1.0,2.6226043701171875e-06,32.0
30,1.0,,
31,1.0,1.1622905731201172e-05,9.0
32,1.0,2.6226043701171875e-06,24.0
33,1.0,,
34,1.0,5.781650543212891e-06,76.0
35,1.0,,
36,1.0,4.708766937255859e-06,90.0
37,1.0,1.6689300537109375e-05,19.0
38,1.0,,
39,1.0,,
40,1.0,3.039836883544922e-06,11.0
41,1.0,,
42,1.0,5.662441253662109e-06,1.0
43,1.0,,
44,1.0,,
45,1.0,,
46,1.0,7.867813110351562e-06,96.0
47,1.0,9.417533874511719e-06,15.0
48,1.0,5.125999450683594e-06,26.0
49,1.0,,
50,1.0,,
51,1.0,1.245737075805664e-05,28.0
52,1.0,,
53,1.0,,
54,1.0,1.3709068298339844e-06,1.0
55,1.0,1.4185905456542969e-05,13.0
56,1.0,4.827976226806641e-06,16.0
57,1.0,,
58,1.0,,
59,1.0,7.450580596923828e-06,8.0
60,1.0,,
61,1.0,,
62,1.0,,
63,1.0,6.735324859619141e-06,5.0
64,1.0,,
65,1.0,,
66,1.0,,
67,1.0,1.6093254089355469e-06,1.0
68,1.0,1.0907649993896484e-05,22.0
69,1.0,3.039836883544922e-06,38.0
70,1.0,,
71,1.0,1.5497207641601562e-06,6.0
72,1.0,3.0994415283203125e-06,8.0
73,1.0,,
74,1.0,,
75,1.0,1.4603137969970703e-05,5.0
76,1.0,1.9669532775878906e-06,42.0
77,1.0,4.5299530029296875e-06,6.0
78,1.0,4.708766937255859e-06,3.0
79,1.0,3.993511199951172e-06,17.0
80,1.0,1.3113021850585938e-06,1.0
81,1.0,2.8014183044433594e-06,3.0
82,1.0,8.702278137207031e-06,7.0
83,1.0,,
84,1.0,,
85,1.0,,
86,1.0,,
87,1.0,,
88,1.0,3.2186508178710938e-06,11.0
89,1.0,,
90,1.0,,
91,1.0,1.8477439880371094e-06,6.0
92,1.0,,
93,1.0,,
94,1.0,3.6954879760742188e-06,4.0
95,1.0,6.556510925292969e-06,30.0
96,1.0,,
97,1.0,3.2782554626464844e-06,32.0
98,1.0,,
99,1.0,2.1457672119140625e-06,2.0
100,1.0,1.6689300537109375e-06,100.0
101,1.0,,
102,1.0,5.245208740234375e-06,9.0
103,1.0,,
104,1.0,5.781650543212891e-06,7.0
105,1.0,3.5762786865234375e-06,3.0
106,1.0,,
107,1.0,,
108,1.0,1.1742115020751953e-05,11.0
109,1.0,2.7418136596679688e-06,11.0
110,1.0,1.9073486328125e-06,10.0
111,1.0,,
112,1.0,4.410743713378906e-06,18.0
113,1.0,9.5367431640625e-07,1.0
114,1.0,7.092952728271484e-06,15.0
115,1.0,,
116,1.0,,
117,1.0,,
118,1.0,4.172325134277344e-06,18.0
119,1.0,8.344650268554688e-06,10.0
120,1.0,4.0531158447265625e-06,4.0
121,1.0,2.008676528930664e-05,10.0
122,1.0,,
123,1.0,2.4437904357910156e-06,21.0
124,1.0,1.33514404296875e-05,9.0
125,1.0,1.5139579772949219e-05,18.0
126,1.0,,
127,1.0,,
128,1.0,1.7285346984863281e-06,6.0
129,1.0,5.4836273193359375e-06,31.0
130,1.0,,
131,1.0,,
132,1.0,1.8477439880371094e-06,1.0
133,1.0,,
134,1.0,4.0531158447265625e-06,3.0
135,1.0,,
136,1.0,,
137,1.0,4.112720489501953e-06,19.0
138,1.0,,
139,1.0,,
140,1.0,1.0728836059570312e-06,1.0
141,1.0,2.6226043701171875e-06,2.0
142,1.0,4.887580871582031e-06,6.0
143,1.0,,
