,alpha,distance,iters
393,1.0,1.0132789611816406e-06,1.0
394,1.0,3.5762786865234375e-06,6.0
395,1.0,7.62939453125e-06,4.0
396,1.0,1.3053417205810547e-05,13.0
397,1.0,7.987022399902344e-06,11.0
398,1.0,5.304813385009766e-06,11.0
399,1.0,5.4836273193359375e-06,14.0
400,1.0,5.364418029785156e-07,1.0
401,1.0,7.808208465576172e-06,9.0
402,1.0,1.3649463653564453e-05,15.0
403,1.0,7.212162017822266e-06,26.0
404,1.0,5.21540641784668e-05,10.0
405,1.0,2.7954578399658203e-05,27.0
406,1.0,2.205371856689453e-06,5.0
407,1.0,1.1086463928222656e-05,2.0
408,1.0,2.288818359375e-05,6.0
409,1.0,1.0251998901367188e-05,11.0
410,1.0,1.4126300811767578e-05,9.0
411,1.0,4.470348358154297e-06,5.0
412,1.0,2.2590160369873047e-05,8.0
413,1.0,1.704692840576172e-05,17.0
414,1.0,2.6702880859375e-05,14.0
415,1.0,1.4722347259521484e-05,6.0
416,1.0,4.0531158447265625e-06,7.0
417,1.0,2.1398067474365234e-05,22.0
418,1.0,8.344650268554688e-07,1.0
419,1.0,1.0669231414794922e-05,21.0
420,1.0,2.4974346160888672e-05,8.0
421,1.0,1.0251998901367188e-05,19.0
422,1.0,1.0311603546142578e-05,5.0
423,1.0,6.854534149169922e-06,12.0
424,1.0,4.291534423828125e-06,4.0
425,1.0,7.867813110351562e-05,52.0
426,1.0,1.8835067749023438e-05,8.0
427,1.0,3.403425216674805e-05,7.0
428,1.0,1.0788440704345703e-05,13.0
429,1.0,8.404254913330078e-06,20.0
430,1.0,2.962350845336914e-05,14.0
431,1.0,2.3365020751953125e-05,23.0
432,1.0,0.00017404556274414062,8.0
433,1.0,2.014636993408203e-05,6.0
434,1.0,1.8715858459472656e-05,7.0
435,1.0,8.404254913330078e-06,12.0
436,1.0,3.4570693969726562e-06,3.0
437,1.0,1.4185905456542969e-05,10.0
438,1.0,1.5497207641601562e-05,16.0
439,1.0,1.2516975402832031e-06,2.0
440,1.0,5.900859832763672e-06,9.0
441,1.0,3.141164779663086e-05,25.0
442,1.0,1.430511474609375e-05,13.0
443,1.0,5.245208740234375e-06,5.0
444,1.0,2.7418136596679688e-06,2.0
445,1.0,1.043081283569336e-05,3.0
446,1.0,2.6226043701171875e-06,1.0
447,1.0,2.9206275939941406e-06,7.0
448,1.0,2.086162567138672e-06,1.0
449,1.0,1.633167266845703e-05,4.0
450,1.0,5.662441253662109e-06,7.0
451,1.0,3.4570693969726562e-06,4.0
452,1.0,2.276897430419922e-05,8.0
453,1.0,1.5020370483398438e-05,20.0
454,1.0,9.59634780883789e-06,5.0
455,1.0,7.510185241699219e-06,11.0
456,1.0,1.0728836059570312e-06,1.0
457,1.0,6.854534149169922e-06,3.0
458,1.0,4.708766937255859e-06,10.0
459,1.0,3.230571746826172e-05,7.0
460,1.0,1.8477439880371094e-06,1.0
461,1.0,8.404254913330078e-06,5.0
462,1.0,3.337860107421875e-06,12.0
463,1.0,1.3232231140136719e-05,23.0
464,1.0,1.3947486877441406e-05,15.0
465,1.0,1.633167266845703e-05,9.0
466,1.0,7.510185241699219e-06,13.0
467,1.0,1.2993812561035156e-05,10.0
468,1.0,2.2113323211669922e-05,5.0
469,1.0,3.7550926208496094e-06,3.0
470,1.0,8.344650268554688e-07,1.0
471,1.0,7.152557373046875e-06,12.0
472,1.0,3.421306610107422e-05,20.0
473,1.0,1.150369644165039e-05,17.0
474,1.0,6.496906280517578e-05,31.0
475,1.0,5.841255187988281e-06,12.0
476,1.0,1.895427703857422e-05,17.0
477,1.0,2.5033950805664062e-06,2.0
478,1.0,0.0003306865692138672,4.0
479,1.0,4.3272972106933594e-05,7.0
480,1.0,6.735324859619141e-06,4.0
481,1.0,2.2470951080322266e-05,3.0
482,1.0,2.8014183044433594e-05,6.0
483,1.0,1.2934207916259766e-05,12.0
484,1.0,1.5079975128173828e-05,16.0
485,1.0,3.5762786865234375e-07,1.0
486,1.0,3.123283386230469e-05,23.0
487,1.0,8.702278137207031e-06,11.0
488,1.0,8.881092071533203e-06,3.0
489,1.0,6.258487701416016e-06,11.0
490,1.0,2.9861927032470703e-05,13.0
491,1.0,5.185604095458984e-06,9.0
492,1.0,2.1457672119140625e-06,3.0
493,1.0,2.086162567138672e-06,2.0
494,1.0,4.708766937255859e-06,2.0
495,1.0,1.0609626770019531e-05,13.0
496,1.0,2.002716064453125e-05,3.0
497,1.0,6.496906280517578e-06,3.0
498,1.0,3.0517578125e-05,17.0
499,1.0,8.940696716308594e-07,1.0
500,1.0,2.384185791015625e-07,1.0
501,1.0,1.919269561767578e-05,12.0
502,1.0,6.735324859619141e-06,6.0
503,1.0,6.616115570068359e-06,1.0
504,1.0,1.430511474609375e-05,19.0
505,1.0,1.436471939086914e-05,12.0
506,1.0,7.152557373046875e-07,1.0
507,1.0,7.927417755126953e-06,10.0
508,1.0,2.9802322387695312e-06,6.0
509,1.0,1.7821788787841797e-05,39.0
510,1.0,6.377696990966797e-06,13.0
511,1.0,1.0132789611816406e-05,12.0
512,1.0,1.0669231414794922e-05,42.0
513,1.0,1.4424324035644531e-05,11.0
514,1.0,4.863739013671875e-05,14.0
515,1.0,3.0994415283203125e-05,9.0
516,1.0,9.715557098388672e-06,18.0
517,1.0,1.0728836059570312e-06,1.0
518,1.0,5.46574592590332e-05,3.0
519,1.0,4.166364669799805e-05,14.0
520,1.0,1.1622905731201172e-05,15.0
521,1.0,8.52346420288086e-06,3.0
522,1.0,1.9669532775878906e-05,10.0
523,1.0,1.1622905731201172e-05,50.0
524,1.0,1.6689300537109375e-06,1.0
525,1.0,6.318092346191406e-06,6.0
526,1.0,3.612041473388672e-05,11.0
527,1.0,4.410743713378906e-06,7.0
528,1.0,7.748603820800781e-07,1.0
529,1.0,1.6450881958007812e-05,22.0
530,1.0,1.430511474609375e-05,7.0
531,1.0,2.6226043701171875e-06,2.0
532,1.0,2.3245811462402344e-05,5.0
533,1.0,8.881092071533203e-06,12.0
534,1.0,1.52587890625e-05,4.0
535,1.0,2.8014183044433594e-06,9.0
536,1.0,1.8477439880371094e-06,1.0
537,1.0,1.9788742065429688e-05,19.0
538,1.0,8.761882781982422e-06,13.0
539,1.0,1.1146068572998047e-05,5.0
540,1.0,7.748603820800781e-06,5.0
541,1.0,2.1338462829589844e-05,12.0
542,1.0,2.7418136596679688e-06,2.0
543,1.0,9.179115295410156e-06,16.0
544,1.0,6.4373016357421875e-06,8.0
545,1.0,1.0728836059570312e-06,1.0
546,1.0,5.6624412536621094e-05,5.0
547,1.0,1.6868114471435547e-05,4.0
548,1.0,9.238719940185547e-06,4.0
549,1.0,3.784894943237305e-05,25.0
550,1.0,2.5928020477294922e-05,16.0
551,1.0,8.940696716308594e-07,1.0
552,1.0,3.743171691894531e-05,24.0
553,1.0,7.212162017822266e-06,8.0
554,1.0,2.092123031616211e-05,21.0
555,1.0,2.5033950805664062e-06,2.0
556,1.0,9.179115295410156e-06,11.0
557,1.0,0.0001068115234375,29.0
558,1.0,1.0132789611816406e-06,1.0
559,1.0,8.106231689453125e-06,2.0
560,1.0,6.377696990966797e-06,5.0
561,1.0,6.93202018737793e-05,18.0
562,1.0,1.6570091247558594e-05,14.0
563,1.0,1.3113021850585938e-05,6.0
564,1.0,5.91278076171875e-05,14.0
565,1.0,8.404254913330078e-06,4.0
566,1.0,1.722574234008789e-05,12.0
567,1.0,1.7464160919189453e-05,11.0
568,1.0,3.0994415283203125e-06,3.0
569,1.0,1.436471939086914e-05,8.0
570,1.0,3.3974647521972656e-06,3.0
571,1.0,8.344650268554688e-07,1.0
572,1.0,1.7464160919189453e-05,10.0
573,1.0,7.152557373046875e-06,12.0
574,1.0,7.319450378417969e-05,32.0
575,1.0,2.6226043701171875e-06,1.0
576,1.0,6.9141387939453125e-06,4.0
577,1.0,1.043081283569336e-05,19.0
578,1.0,8.52346420288086e-06,5.0
579,1.0,6.67572021484375e-06,15.0
580,1.0,4.291534423828125e-06,5.0
581,1.0,2.2590160369873047e-05,20.0
582,1.0,7.927417755126953e-06,6.0
583,1.0,3.266334533691406e-05,16.0
584,1.0,4.172325134277344e-06,1.0
585,1.0,1.919269561767578e-05,19.0
586,1.0,7.212162017822266e-06,3.0
587,1.0,4.827976226806641e-06,10.0
588,1.0,5.0067901611328125e-06,2.0
589,1.0,1.3828277587890625e-05,11.0
590,1.0,2.288818359375e-05,12.0
591,1.0,3.6954879760742188e-06,3.0
592,1.0,2.3484230041503906e-05,11.0
593,1.0,1.0609626770019531e-05,25.0
594,1.0,1.1444091796875e-05,3.0
595,1.0,9.894371032714844e-06,3.0
596,1.0,1.233816146850586e-05,9.0
597,1.0,9.715557098388672e-06,7.0
598,1.0,1.2516975402832031e-06,1.0
599,1.0,1.138448715209961e-05,11.0
0,2.8480358684358014,1.8298625946044922e-05,12.0
1,2.8480358684358014,1.0371208190917969e-05,20.0
2,2.8480358684358014,8.225440979003906e-06,6.0
3,2.8480358684358014,9.357929229736328e-06,10.0
4,2.8480358684358014,1.1920928955078125e-06,1.0
5,2.8480358684358014,1.4543533325195312e-05,6.0
6,2.8480358684358014,9.894371032714844e-06,24.0
7,2.8480358684358014,1.4662742614746094e-05,16.0
8,2.8480358684358014,1.823902130126953e-05,7.0
9,2.8480358684358014,2.9206275939941406e-06,1.0
10,2.8480358684358014,2.199411392211914e-05,18.0
11,2.8480358684358014,2.384185791015625e-06,1.0
12,2.8480358684358014,3.0994415283203125e-05,5.0
13,2.8480358684358014,1.8656253814697266e-05,13.0
14,2.8480358684358014,1.6033649444580078e-05,14.0
15,2.8480358684358014,1.239776611328125e-05,6.0
16,2.8480358684358014,8.344650268554688e-07,1.0
17,2.8480358684358014,3.4570693969726562e-06,3.0
18,2.8480358684358014,1.8358230590820312e-05,11.0
19,2.8480358684358014,8.821487426757812e-06,6.0
20,2.8480358684358014,4.470348358154297e-05,12.0
21,2.8480358684358014,1.2516975402832031e-06,1.0
22,2.8480358684358014,1.1801719665527344e-05,8.0
23,2.8480358684358014,4.589557647705078e-06,13.0
24,2.8480358684358014,3.7610530853271484e-05,28.0
25,2.8480358684358014,1.531839370727539e-05,9.0
26,2.8480358684358014,2.0384788513183594e-05,3.0
27,2.8480358684358014,9.238719940185547e-06,6.0
28,2.8480358684358014,6.651878356933594e-05,7.0
29,2.8480358684358014,1.245737075805664e-05,9.0
30,2.8480358684358014,3.248453140258789e-05,13.0
31,2.8480358684358014,5.0902366638183594e-05,4.0
32,2.8480358684358014,5.0067901611328125e-05,8.0
33,2.8480358684358014,1.3053417205810547e-05,10.0
34,2.8480358684358014,7.033348083496094e-06,9.0
35,2.8480358684358014,4.1425228118896484e-05,16.0
36,2.8480358684358014,5.304813385009766e-06,5.0
37,2.8480358684358014,6.020069122314453e-06,6.0
38,2.8480358684358014,6.55055046081543e-05,6.0
39,2.8480358684358014,4.0531158447265625e-06,6.0
40,2.8480358684358014,5.781650543212891e-06,7.0
